Section,Completely Off,Mostly Off,Mostly On,Always On,Blocked
1,0.125,0.0,0.0,0.875,0
2,0.046875,0.0,0.0,0.953125,0
3,0.09375,0.0,0.0,0.90625,0
4,0.15625,0.0,0.0,0.84375,0
5,0.5859375,0.0,0.0,0.4140625,0
6,0.6640625,0.0,0.0,0.3359375,0
7,0.65625,0.0,0.0,0.34375,0
8,0.765625,0.0,0.0,0.234375,0
9,0.8359375,0.0,0.0,0.1640625,0
10,0,0,0,0,1
11,0,0,0,0,1
12,0,0,0,0,1
13,0,0,0,0,1
14,0,0,0,0,1
15,0,0,0,0,1
16,0,0,0,0,1
17,0,0,0,0,1
18,0,0,0,0,1
19,0,0,0,0,1
20,0,0,0,0,1
21,0,0,0,0,1
22,0,0,0,0,1
23,0,0,0,0,1
24,0,0,0,0,1
25,0,0,0,0,1
26,0,0,0,0,1
27,0,0,0,0,1
28,0,0,0,0,1
29,0,0,0,0,1
30,0,0,0,0,1
31,0,0,0,0,1
32,0,0,0,0,1
33,0,0,0,0,1
34,0,0,0,0,1
35,0,0,0,0,1
36,0,0,0,0,1
37,0.984375,0.0,0.0,0.015625,0
38,0,0,0,0,1
39,0.890625,0.0,0.0,0.109375,0
40,0.734375,0.0,0.0,0.265625,0
41,0.78125,0.0,0.0,0.21875,0
42,0.5625,0.0,0.0,0.4375,0
43,0.375,0.0,0.0,0.625,0
44,0.3125,0.0,0.0,0.6875,0
45,0.3125,0.0,0.0,0.6875,0
46,0.484375,0.0,0.0,0.515625,0
47,0.9375,0.0,0.0,0.0625,0
48,0.96875,0.0,0.0,0.03125,0
49,0.9765625,0.0,0.0,0.0234375,0
50,0.96875,0.0,0.0,0.03125,0
51,0.9609375,0.0,0.0,0.0390625,0
52,0,0,0,0,1
53,0,0,0,0,1
54,0,0,0,0,1
55,0,0,0,0,1
56,0,0,0,0,1
57,1.0,0.0,0.0,0.0,0
58,0.4375,0.0,0.0,0.5625,0
59,0.8125,0.0,0.0,0.1875,0
60,0.5,0.0,0.0,0.5,0
61,0.0,0.0,0.0,1.0,0
62,0.0,0.0,0.0,1.0,0
63,0.921875,0.0,0.0,0.078125,0
64,0.96875,0.0,0.0,0.03125,0
65,0.8984375,0.0,0.0,0.1015625,0
66,0.0,0.0,0.0,1.0,0
67,0.0,0.0,0.0,1.0,0
68,0,0,0,0,1
69,0,0,0,0,1
70,0,0,0,0,1
71,0.0,0.0,0.0,1.0,0
72,0.0,0.0,0.0,1.0,0
